,HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
0,255.89561792256808,411.1684670387944,204.1647143882774,28.76076950802705,15.280765673346222,34.93912114677872,181.2133150595352
1,254.39654435036778,407.4818188565154,203.38975380242275,29.22972522232901,15.41313574100202,35.76391770306044,181.53891321721693
2,252.89135417002953,403.7968383354328,202.61081827409944,29.703000661876978,15.546141105602972,36.5896243830441,181.8594211288319
3,251.38038806966642,400.1143075522182,201.8280826214264,30.180557084827417,15.679752028152445,37.41606350275022,182.17478815243354
4,249.86398973426856,396.43500737755437,201.0417234786863,30.662355113030213,15.813938461345886,38.24305714454733,182.48496631054232
5,248.34250565465533,392.7597170756916,200.25191919249426,31.148354764690655,15.94867006599183,39.07042725702256,182.78991030401897
6,246.81628493393896,389.0892139056342,199.45884971635002,31.638515487028737,16.083916227645787,39.89799575483729,183.08957752353854
7,245.2856790918017,385.4242727244138,198.66269650375256,32.13279618882596,16.219646073427022,40.72558461840306,183.38392805871584
8,243.75104186688438,381.76566559287824,197.86364240005713,32.63115527275899,16.355828488989324,41.55301599322098,183.67292470494672
9,242.21272901757243,378.11416138440165,197.06187153325152,33.133550667433155,16.49243213561818,42.38011228873865,183.95653296803738
10,240.67109812145162,374.47052539689344,196.25756920381878,33.63993985904413,16.629425467428327,43.20669627659219,184.23472106669482
11,239.12650837369063,370.83551896846245,195.45092177384265,34.150279922610224,16.766776748637895,44.03259118811536,184.50745993294677
12,237.5793203845905,367.2098990970704,194.64211655549954,34.6645275527278,16.904454070898087,44.85762081101109,184.77472321054893
13,236.02989597652694,363.5944180644954,193.83134169906924,35.18263909380735,17.04242537065972,45.6816095850897,185.03648725142656
14,234.47859798049808,359.9898230649167,193.01878608058567,35.704570569750075,17.18065844655979,46.504382696982994,185.29273111018597
15,232.92579003248153,356.39685583842964,192.20463918924324,36.230277713024044,17.31912097681197,47.325766173744185,185.54343653672083
16,231.37183636980222,352.81625230980046,191.38909101467272,36.7597159930981,17.45778053658491,48.145586975242885,185.7885879669325
17,229.81710162771364,349.24874223277004,190.5723319342025,37.29284064418916,17.596604615351666,48.96367308526229,186.02817251158007
